English;all saints;Swedish;alla saintschristian,religious;11-1;;
English;all saints;German;alle heiligenchristian,religious;11-1;;
English;all saints;Dutch;alle heiligenchristian,religious;11-1;;
English;all saints;Danish;alle helgenerchristian,religious;11-1;;
English;all saints;Norwgian;alle helgenerchristian,religious;11-1;;
English;all saints;French;tous saintschristian,religious;11-1;;
English;all saints;Lithuanian;visi sventiejichristian,religious;11-1;;
English;all saints;Latvian;visi svetiechristian,religious;11-1;;
English;all saints;Spanish;todos santoschristian,religious;11-1;;
English;all saints;Portuguese;todos santoschristian,religious;11-1;;
English;all saints;Slovenian;vsi svetnikichristian,religious;11-1;;
English;all saints;Croatian;sve svecichristian,religious;11-1;;
English;all saints;Polish;wszyscy swiecichristian,religious;11-1;;
English;all saints;Estonian;kõik pühakudchristian,religious;11-1;;
English;all saints;Finnish;kaikki pyhätchristian,religious;11-1;;
English;all saints;Slovak;vsetky svätíchristian,religious;11-1;;
English;all saints;Czech;vsichni svatíchristian,religious;11-1;;
English;all saints;Hungarian;minden szentekchristian,religious;11-1;;
English;ascension;Swedish;uppstigningchristian,religious;09/05/2013,29/05/2014,14/05/2015,05/05/2016,25/05/2017,10/05/2018,30/05/2019,21/05/2020,13/05/2021,26/05/2022,18/05/2023,29/05/2025,;
English;ascension;German;aufstiegchristian,religious;09/05/2013,29/05/2014,14/05/2015,05/05/2016,25/05/2017,10/05/2018,30/05/2019,21/05/2020,13/05/2021,26/05/2022,18/05/2023,29/05/2025,;
English;ascension;Dutch;hemelvaartchristian,religious;09/05/2013,29/05/2014,14/05/2015,05/05/2016,25/05/2017,10/05/2018,30/05/2019,21/05/2020,13/05/2021,26/05/2022,18/05/2023,29/05/2025,;
English;ascension;Danish;opstigningchristian,religious;09/05/2013,29/05/2014,14/05/2015,05/05/2016,25/05/2017,10/05/2018,30/05/2019,21/05/2020,13/05/2021,26/05/2022,18/05/2023,29/05/2025,;
English;ascension;Norwgian;oppstigningchristian,religious;09/05/2013,29/05/2014,14/05/2015,05/05/2016,25/05/2017,10/05/2018,30/05/2019,21/05/2020,13/05/2021,26/05/2022,18/05/2023,29/05/2025,;
English;ascension;French;ascensionchristian,religious;09/05/2013,29/05/2014,14/05/2015,05/05/2016,25/05/2017,10/05/2018,30/05/2019,21/05/2020,13/05/2021,26/05/2022,18/05/2023,29/05/2025,;
English;ascension;Lithuanian;ascensionchristian,religious;09/05/2013,29/05/2014,14/05/2015,05/05/2016,25/05/2017,10/05/2018,30/05/2019,21/05/2020,13/05/2021,26/05/2022,18/05/2023,29/05/2025,;
English;ascension;Latvian;ascensionchristian,religious;09/05/2013,29/05/2014,14/05/2015,05/05/2016,25/05/2017,10/05/2018,30/05/2019,21/05/2020,13/05/2021,26/05/2022,18/05/2023,29/05/2025,;
English;ascension;Spanish;ascensiónchristian,religious;09/05/2013,29/05/2014,14/05/2015,05/05/2016,25/05/2017,10/05/2018,30/05/2019,21/05/2020,13/05/2021,26/05/2022,18/05/2023,29/05/2025,;
English;ascension;Portuguese;ascensãochristian,religious;09/05/2013,29/05/2014,14/05/2015,05/05/2016,25/05/2017,10/05/2018,30/05/2019,21/05/2020,13/05/2021,26/05/2022,18/05/2023,29/05/2025,;
English;ascension;Slovenian;vzponchristian,religious;09/05/2013,29/05/2014,14/05/2015,05/05/2016,25/05/2017,10/05/2018,30/05/2019,21/05/2020,13/05/2021,26/05/2022,18/05/2023,29/05/2025,;
English;ascension;Croatian;uznesenjachristian,religious;09/05/2013,29/05/2014,14/05/2015,05/05/2016,25/05/2017,10/05/2018,30/05/2019,21/05/2020,13/05/2021,26/05/2022,18/05/2023,29/05/2025,;
